Type	Rank	Freq	Range	NormFreq	NormRange
the battle of	6	105	97	1380.144	0.027
this man s	7	88	75	1156.692	0.021
known as the	8	53	53	696.644	0.015
the u s	8	53	49	696.644	0.014
at the battle	11	50	48	657.212	0.014
this man was	12	45	40	591.490	0.011
in this city	14	41	24	538.913	0.007
one of these	15	39	23	512.625	0.006
in the s	17	33	33	433.760	0.009
the treaty of	17	33	32	433.760	0.009
the united states	17	33	32	433.760	0.009
led to the	20	30	29	394.327	0.008
by this man	23	27	24	354.894	0.007
the site of	23	27	27	354.894	0.008
the th century	25	26	24	341.750	0.007
a series of	26	25	24	328.606	0.007
the city of	28	22	22	289.173	0.006
this country s	28	22	16	289.173	0.005
leader of the	30	21	21	276.029	0.006
of this man	30	21	19	276.029	0.005
this man who	30	21	20	276.029	0.006
this state s	30	21	14	276.029	0.004
battle of the	35	20	20	262.885	0.006
in this country	36	19	15	249.740	0.004
of this event	36	19	15	249.740	0.004
the subject of	39	18	16	236.596	0.005
this city was	39	18	13	236.596	0.004
was the first	39	18	17	236.596	0.005
in the th	42	17	16	223.452	0.005
this city s	42	17	15	223.452	0.004
a member of	44	16	15	210.308	0.004
as part of	44	16	15	210.308	0.004
author of the	44	16	16	210.308	0.005
ruler of this	44	16	8	210.308	0.002
the capital of	44	16	16	210.308	0.005
world war ii	44	16	15	210.308	0.004
in this state	50	15	10	197.163	0.003
in which the	50	15	15	197.163	0.004
members of this	50	15	13	197.163	0.004
of the united	50	15	15	197.163	0.004
of the war	50	15	15	197.163	0.004
of this city	50	15	10	197.163	0.003
of this name	50	15	6	197.163	0.002
president of the	50	15	15	197.163	0.004
the death of	50	15	15	197.163	0.004
this author of	50	15	14	197.163	0.004
an attempt to	61	14	14	184.019	0.004
during this event	61	14	12	184.019	0.003
during this war	61	14	9	184.019	0.003
home to the	61	14	14	184.019	0.004
part of the	61	14	14	184.019	0.004
the war of	61	14	13	184.019	0.004
this nation s	61	14	11	184.019	0.003
was the last	61	14	14	184.019	0.004
was the site	61	14	14	184.019	0.004
as well as	70	13	12	170.875	0.003
in this nation	70	13	11	170.875	0.003
name this country	70	13	13	170.875	0.004
one of the	70	13	13	170.875	0.004
site of the	70	13	13	170.875	0.004
this event was	70	13	12	170.875	0.003
this event which	70	13	11	170.875	0.003
u s state	70	13	12	170.875	0.003
world war i	70	13	13	170.875	0.004
a group of	79	12	12	157.731	0.003
during world war	79	12	10	157.731	0.003
from this country	79	12	8	157.731	0.002
holder of this	79	12	7	157.731	0.002
in order to	79	12	12	157.731	0.003
in response to	79	12	12	157.731	0.003
in the world	79	12	12	157.731	0.003
in this war	79	12	9	157.731	0.003
led by the	79	12	12	157.731	0.003
of these events	79	12	5	157.731	0.001
of this group	79	12	7	157.731	0.002
secretary of state	79	12	12	157.731	0.003
the capture of	79	12	12	157.731	0.003
the council of	79	12	9	157.731	0.003
the duke of	79	12	12	157.731	0.003
the end of	79	12	12	157.731	0.003
the namesake of	79	12	12	157.731	0.003
u s president	79	12	12	157.731	0.003
became the first	97	11	11	144.587	0.003
body of water	97	11	6	144.587	0.002
in which a	97	11	11	144.587	0.003
of these people	97	11	9	144.587	0.003
