Type	Rank	Freq	Range	NormFreq	NormRange
this man s	5	27	23	1872.789	0.050
the battle of	7	18	17	1248.526	0.037
the u s	9	14	13	971.076	0.028
known as the	10	13	13	901.713	0.028
at the battle	11	12	12	832.351	0.026
this man was	11	12	11	832.351	0.024
one of these	13	10	7	693.626	0.015
of this man	15	8	8	554.900	0.017
by this man	18	7	7	485.538	0.015
this man who	18	7	6	485.538	0.013
of this name	20	6	2	416.175	0.004
ruler of this	20	6	2	416.175	0.004
a series of	23	5	5	346.813	0.011
in this city	23	5	2	346.813	0.004
in this state	23	5	3	346.813	0.007
led to the	23	5	5	346.813	0.011
of this country	23	5	3	346.813	0.007
this author of	23	5	5	346.813	0.011
this country s	23	5	3	346.813	0.007
this state s	23	5	4	346.813	0.009
a member of	32	4	3	277.450	0.007
after this man	32	4	4	277.450	0.009
as part of	32	4	4	277.450	0.009
author of the	32	4	4	277.450	0.009
holder of this	32	4	2	277.450	0.004
in the s	32	4	4	277.450	0.009
in the u	32	4	3	277.450	0.007
man was the	32	4	4	277.450	0.009
man who was	32	4	4	277.450	0.009
name this man	32	4	4	277.450	0.009
of these people	32	4	3	277.450	0.007
of this position	32	4	2	277.450	0.004
one of the	32	4	4	277.450	0.009
one of this	32	4	4	277.450	0.009
place in the	32	4	3	277.450	0.007
president of the	32	4	4	277.450	0.009
the american revolution	32	4	4	277.450	0.009
the city of	32	4	4	277.450	0.009
the site of	32	4	4	277.450	0.009
the united states	32	4	4	277.450	0.009
this city was	32	4	2	277.450	0.004
this place in	32	4	3	277.450	0.007
was supported by	32	4	3	277.450	0.007
was the first	32	4	4	277.450	0.009
a pulitzer prize	57	3	3	208.088	0.007
about this man	57	3	3	208.088	0.007
and he was	57	3	3	208.088	0.007
and his wife	57	3	3	208.088	0.007
and this man	57	3	3	208.088	0.007
and was the	57	3	3	208.088	0.007
author s novel	57	3	2	208.088	0.004
capital of a	57	3	2	208.088	0.004
catherine the great	57	3	3	208.088	0.007
city was the	57	3	2	208.088	0.004
during the s	57	3	3	208.088	0.007
during this conflict	57	3	2	208.088	0.004
during this event	57	3	3	208.088	0.007
from this country	57	3	2	208.088	0.004
in a book	57	3	3	208.088	0.007
in the history	57	3	3	208.088	0.007
in the north	57	3	3	208.088	0.007
in this conflict	57	3	2	208.088	0.004
in this country	57	3	2	208.088	0.004
in this man	57	3	3	208.088	0.007
in this nation	57	3	3	208.088	0.007
in this place	57	3	1	208.088	0.002
in which a	57	3	3	208.088	0.007
is said to	57	3	2	208.088	0.004
member of this	57	3	2	208.088	0.004
members of the	57	3	3	208.088	0.007
name this british	57	3	3	208.088	0.007
name this chinese	57	3	3	208.088	0.007
name this country	57	3	3	208.088	0.007
name this early	57	3	3	208.088	0.007
of the american	57	3	3	208.088	0.007
of the united	57	3	3	208.088	0.007
of these beings	57	3	1	208.088	0.002
of this animal	57	3	1	208.088	0.002
of this family	57	3	1	208.088	0.002
of this instrument	57	3	1	208.088	0.002
of this place	57	3	3	208.088	0.007
of this system	57	3	1	208.088	0.002
one ruler of	57	3	2	208.088	0.004
player of this	57	3	1	208.088	0.002
the capital of	57	3	3	208.088	0.007
