Type,Rank,Freq,Range,NormFreq,NormRange
at the battle of,6,50,48,676.7,0.014
in the th century,11,17,16,230.078,0.005
was the site of,12,14,14,189.476,0.004
the site of the,13,13,13,175.942,0.004
of the united states,15,12,12,162.408,0.003
one of these events,15,12,5,162.408,0.001
the battle of the,15,12,12,162.408,0.003
of this man s,19,11,9,148.874,0.003
won the battle of,19,11,11,148.874,0.003
in the u s,21,10,8,135.34,0.002
ruler of this name,21,10,3,135.34,0.001
was the subject of,21,10,10,135.34,0.003
holder of this position,25,9,5,121.806,0.001
in an attempt to,25,9,9,121.806,0.003
the namesake of a,33,8,8,108.272,0.002
the war of the,33,8,8,108.272,0.002
this author of the,33,8,8,108.272,0.002
this man was the,33,8,8,108.272,0.002
during the battle of,39,7,7,94.738,0.002
in what is now,39,7,7,94.738,0.002
name this man who,39,7,7,94.738,0.002
of the u s,39,7,7,94.738,0.002
shares its name with,39,7,7,94.738,0.002
the site of a,39,7,7,94.738,0.002
the subject of a,39,7,7,94.738,0.002
this body of water,39,7,3,94.738,0.001
this city was the,39,7,5,94.738,0.001
this man who was,39,7,7,94.738,0.002
a member of this,55,6,5,81.204,0.001
in an effort to,55,6,6,81.204,0.002
in this election year,55,6,3,81.204,0.001
in this state s,55,6,6,81.204,0.002
is the namesake of,55,6,6,81.204,0.002
members of this group,55,6,5,81.204,0.001
name this author of,55,6,6,81.204,0.002
president of the united,55,6,6,81.204,0.002
the end of the,55,6,6,81.204,0.002
the subject of the,55,6,6,81.204,0.002
the title character of,55,6,5,81.204,0.001
this event which was,55,6,5,81.204,0.001
this war in which,55,6,6,81.204,0.002
was the target of,55,6,6,81.204,0.002
a ruler of this,73,5,4,67.67,0.001
as a result of,73,5,5,67.67,0.001
as part of the,73,5,5,67.67,0.001
by the duke of,73,5,5,67.67,0.001
by the treaty of,73,5,5,67.67,0.001
during world war two,73,5,5,67.67,0.001
first president of the,73,5,5,67.67,0.001
in the battle of,73,5,5,67.67,0.001
in the s the,73,5,5,67.67,0.001
in the treaty of,73,5,5,67.67,0.001
in the wake of,73,5,5,67.67,0.001
in this modern day,73,5,4,67.67,0.001
name this leader of,73,5,5,67.67,0.001
of the th century,73,5,5,67.67,0.001
of this state s,73,5,4,67.67,0.001
secretary of the treasury,73,5,5,67.67,0.001
signed the treaty of,73,5,5,67.67,0.001
the capture of the,73,5,5,67.67,0.001
the creation of the,73,5,5,67.67,0.001
the leader of the,73,5,5,67.67,0.001
this leader of the,73,5,5,67.67,0.001
this u s state,73,5,5,67.67,0.001
