ID,type,q_place_1,q_place_type_1,parent_hierarchy1,hierarchy_types_1,places 2,places 3,places 4,places 5,places 6,places 7
2014.c.1.1.3,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.1.1.10,tossup,Russia,primary political entities,Asia,continents,,,,,,
2014.c.1.2.3,tossup + bonus,China,primary political entities,Asia,continents,,,,,,
2014.c.1.2.5,,Jackson,,North and Central America,continents,,,,,,
2014.c.1.2.6,tossup + bonus,Spain,primary political entities,Europe,continents,Westphalia,Wellington,,,,
2014.c.1.2.7,,Edinburgh,educational centers (buildings),Europe,continents,,,,,,
2014.c.1.2.8,tossup + bonus,Austria,primary political entities,Europe,continents,Nazi Germany,,,,,
2014.c.1.3.lightning.1.2,,Syracuse,cities,Europe,continents,,,,,,
2014.c.1.3.lightning.1.4,,Athens,cities,Europe,continents,,,,,,
2014.c.1.3.lightning.1.5,,Athens,cities,Europe,continents,,,,,,
2014.c.1.3.lightning.1.7,,Lesbos Island,,Europe,continents,,,,,,
2014.c.1.3.lightning.2.2,lightning,Germany,primary political entities,Europe,continents,,,,,,
2014.c.1.3.lightning.2.3,lightning,Turkey,primary political entities,Asia,continents,,,,,,
2014.c.1.3.lightning.2.4,,Moscow,cities,Asia,continents,,,,,,
2014.c.1.3.lightning.2.8,lightning,Serbia,primary political entities,Europe,continents,,,,,,
2014.c.1.3.lightning.3.2,,Chicago,cities,North and Central America,continents,,,,,,
2014.c.1.3.lightning.3.5,,California,states (political divisions),North and Central America,continents,,,,,,
2014.c.1.3.lightning.3.8,,District of Columbia,national districts,North and Central America,continents,,,,,,
2014.c.1.4.1,tossup,Iraq,primary political entities,Asia,continents,Iran,North Korea,Germany,Italy,Japan,
2014.c.1.4.4,tossup,China,primary political entities,Asia,continents,,,,,,
2014.c.1.4.5,tossup,Germany,primary political entities,Europe,continents,,,,,,
2014.c.1.extra.1,,Buffalo,industrial centers (inhabited places),North and Central America,continents,,,,,,
2014.c.2.1.1,,Begram,Achaemenid,Asia,continents,,,,,,
2014.c.2.1.2,,Maryland,states (political divisions),North and Central America,continents,,,,,,
2014.c.2.1.5,tossup,France,primary political entities,Europe,continents,,,,,,
2014.c.2.1.7,tossup,United Kingdom,primary political entities,Europe,continents,,,,,,
2014.c.2.1.10,tossup,Ireland,primary political entities,Europe,continents,,,,,,
2014.c.2.2.7,,Tara,,Europe,continents,,,,,,
2014.c.2.2.8,tossup + bonus,France,primary political entities,Europe,continents,Khmer Kingdom,Cambodia,,,,
2014.c.2.3.lightning.1.1,,Atlanta,manufacturing centers,North and Central America,continents,,,,,,
2014.c.2.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.2.3.lightning.2.3,,England,first level subdivisions (political entities),Europe,continents,,,,,,
2014.c.2.3.lightning.2.4,lightning,Spain,primary political entities,Europe,continents,,,,,,
2014.c.2.3.lightning.3.7,,Acapulco,,North and Central America,continents,,,,,,
2014.c.2.4.1,,Springfield,,North and Central America,continents,,,,,,
2014.c.2.4.2,tossup,United States,primary political entities,North and Central America,continents,the United States,U.S.,Canada,U.S.,,
2014.c.2.4.4,,Springfield,cities,North and Central America,continents,,,,,,
2014.c.2.4.5,tossup,United Kingdom,primary political entities,Europe,continents,,,,,,
2014.c.2.4.6,tossup,Germany,primary political entities,Europe,continents,,,,,,
2014.c.2.4.7,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.3.1.1,,England,first level subdivisions (political entities),Europe,continents,,,,,,
2014.c.3.1.4,tossup,United States,primary political entities,North and Central America,continents,Colombia,,,,,
2014.c.3.1.6,,Williston,,North and Central America,continents,,,,,,
2014.c.3.1.7,tossup,Sudan,primary political entities,Africa,continents,,,,,,
2014.c.3.1.8,,Lausanne,manufacturing centers,Europe,continents,,,,,,
2014.c.3.1.10,,Cincinnati,cultural centers (buildings),North and Central America,continents,,,,,,
2014.c.3.2.1,,Emporia,,North and Central America,continents,,,,,,
2014.c.3.2.2,,Argun,,Asia,continents,,,,,,
2014.c.3.2.4,,"Ágios Ioánnis, Ákra",,Europe,continents,,,,,,
2014.c.3.2.5,tossup + bonus,Soviet Union,former primary political entities,Asia,continents,,,,,,
2014.c.3.2.7,,Surt,,Africa,continents,,,,,,
2014.c.3.3.lightning.1.7,lightning,Sweden,primary political entities,Europe,continents,,,,,,
2014.c.3.3.lightning.2.2,,Northern Ireland,first level subdivisions (political entities),Europe,continents,,,,,,
2014.c.3.3.lightning.2.8,,Great Britain,,Europe,continents,,,,,,
2014.c.3.3.lightning.3.1,lightning,United States,primary political entities,North and Central America,continents,St. Petersburg,,,,,
2014.c.3.3.lightning.3.4,,Florida,states (political divisions),North and Central America,continents,,,,,,
2014.c.3.3.lightning.3.6,,District of Columbia,national districts,North and Central America,continents,,,,,,
2014.c.3.4.1,,Paris,cities,Europe,continents,,,,,,
2014.c.3.4.2,,Saint Louis City,,North and Central America,continents,,,,,,
2014.c.3.4.5,tossup,Austria,primary political entities,Europe,continents,Italy,,,,,
2014.c.3.4.6,,Philadelphia,national capitals,North and Central America,continents,,,,,,
2014.c.3.4.8,,Paris,cities,Europe,continents,,,,,,
2014.c.3.extra.1,tossup + bonus,Soviet Union,former primary political entities,Asia,continents,,,,,,
2014.c.4.1.2,,Ohio,states (political divisions),North and Central America,continents,,,,,,
2014.c.4.1.3,,Pennsylvania,states (political divisions),North and Central America,continents,,,,,,
2014.c.4.1.6,,Waco,industrial centers (inhabited places),North and Central America,continents,,,,,,
2014.c.4.2.2,,Scotland,first level subdivisions (political entities),Europe,continents,,,,,,
2014.c.4.2.3,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.4.2.5,tossup + bonus,Ghana,primary political entities,Africa,continents,Nigeria,Rhodesia,France,,,
2014.c.4.2.7,,Lydia,general regions,Asia,continents,,,,,,
2014.c.4.2.8,,Virginia,states (political divisions),North and Central America,continents,,,,,,
2014.c.4.3.lightning.1.1,,Great Britain,,Europe,continents,,,,,,
2014.c.4.3.lightning.1.3,,St. Paul,manufacturing centers,North and Central America,continents,,,,,,
2014.c.4.3.lightning.2.1,,Jerusalem,cities,Asia,continents,,,,,,
2014.c.4.3.lightning.2.3,,England,first level subdivisions (political entities),Europe,continents,,,,,,
2014.c.4.3.lightning.3.3,lightning,India,primary political entities,Asia,continents,,,,,,
2014.c.4.3.lightning.3.5,lightning,India,primary political entities,Asia,continents,,,,,,
2014.c.4.4.1,tossup,Poland,primary political entities,Europe,continents,,,,,,
2014.c.4.4.2,,Manzanar,,North and Central America,continents,,,,,,
2014.c.4.4.3,,Mecca,national capitals,Asia,continents,,,,,,
2014.c.4.4.5,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.4.4.6,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.4.4.7,,New York,states (political divisions),North and Central America,continents,,,,,,
2014.c.4.4.8,,Caprivi Zipfel,,Africa,continents,,,,,,
2014.c.5.1.1,,South Carolina,states (political divisions),North and Central America,continents,,,,,,
2014.c.5.1.2,,Paris,cities,Europe,continents,,,,,,
2014.c.5.1.5,,Dayton,,North and Central America,continents,,,,,,
2014.c.5.1.9,tossup,Cuba,primary political entities,North and Central America,continents,Tenochtitlan,Mexico,Spain,,,
2014.c.5.2.2,,Patna,cities,Asia,continents,,,,,,
2014.c.5.2.3,,Veracruz,states (political divisions),North and Central America,continents,,,,,,
2014.c.5.2.5,,West Virginia,states (political divisions),North and Central America,continents,,,,,,
2014.c.5.2.8,tossup + bonus,Japan,primary political entities,Asia,continents,,,,,,
2014.c.5.3.lightning.1.3,,London,Romano-British,Europe,continents,,,,,,
2014.c.5.3.lightning.3.2,,England,first level subdivisions (political entities),Europe,continents,,,,,,
2014.c.5.4.1,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.5.4.3,,Louisiana,states (political divisions),North and Central America,continents,,,,,,
2014.c.5.4.4,,Rome,archaeological sites,Europe,continents,,,,,,
2014.c.5.4.5,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.5.4.7,tossup,Soviet Union,former primary political entities,Asia,continents,the United States,,,,,
2014.c.5.4.8,tossup,Cuba,primary political entities,North and Central America,continents,U.S.,Puerto Rico,,,,
2015.a.1.1.1,,Maryland,states (political divisions),North and Central America,continents,,,,,,
2015.a.1.1.2,,Philadelphia,national capitals,North and Central America,continents,,,,,,
2015.a.1.1.9,,National Capital Region,regions (administrative divisions),Asia,continents,,,,,,
2015.a.1.1.10,tossup,United States,primary political entities,North and Central America,continents,Lawrence County,,,,,
2015.a.1.2.1,,Rome,,North and Central America,continents,,,,,,
2015.a.1.2.5,,Casablanca,educational centers (buildings),Africa,continents,,,,,,
2015.a.1.2.7,,Minnesota,states (political divisions),North and Central America,continents,,,,,,
2015.a.1.3.lightning.3.1,lightning,Japan,primary political entities,Asia,continents,,,,,,
2015.a.1.3.lightning.3.4,lightning,Japan,primary political entities,Asia,continents,,,,,,
2015.a.1.3.lightning.3.5,lightning,Japan,primary political entities,Asia,continents,,,,,,
2015.a.1.3.lightning.3.6,lightning,Japan,primary political entities,Asia,continents,Russia,,,,,
2015.a.1.3.lightning.3.7,,Liao-tung,defense installations,Asia,continents,,,,,,
2015.a.1.3.lightning.3.8,,New Hampshire,states (political divisions),North and Central America,continents,,,,,,
2015.a.1.4.1,,Chippenham,,Europe,continents,,,,,,
2015.a.1.4.2,,Washington,states (political divisions),North and Central America,continents,,,,,,
2015.a.1.4.4,,New Jersey,states (political divisions),North and Central America,continents,,,,,,
2015.a.1.4.5,,Taku,,Asia,continents,,,,,,
2015.a.2.1.1,tossup,Russia,primary political entities,Asia,continents,Britain,Britain,,,,
2015.a.2.1.2,,New Orleans,cities,North and Central America,continents,,,,,,
2015.a.2.1.6,,Hejaz,,Asia,continents,,,,,,
2015.a.2.1.8,,Jerusalem,cities,Asia,continents,,,,,,
2015.a.2.1.9,,Talbot,,North and Central America,continents,,,,,,
2015.a.2.2.2,tossup + bonus,Israel,primary political entities,Asia,continents,DC,Washington,Colorado,,,
2015.a.2.2.4,,Massachusetts,states (political divisions),North and Central America,continents,,,,,,
2015.a.2.2.8,tossup + bonus,Canada,primary political entities,North and Central America,continents,Paris,,,,,
2015.a.2.3.lightning.1.1,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.2.3.lightning.1.2,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.2.3.lightning.1.3,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.2.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,Cuba,,,,,
2015.a.2.3.lightning.1.8,lightning,United States,primary political entities,North and Central America,continents,Cuba,,,,,
2015.a.2.3.lightning.2.1,,Massachusetts,states (political divisions),North and Central America,continents,,,,,,
2015.a.2.3.lightning.2.3,,Yorktown,,North and Central America,continents,,,,,,
2015.a.2.3.lightning.2.4,,West Point,,North and Central America,continents,,,,,,
2015.a.2.3.lightning.2.5,,Camden,,North and Central America,continents,,,,,,
2015.a.2.3.lightning.2.7,,Rhode Island,states (political divisions),North and Central America,continents,,,,,,
2015.a.2.3.lightning.2.8,,South Carolina,states (political divisions),North and Central America,continents,,,,,,
2015.a.2.3.lightning.3.5,lightning,Peru,primary political entities,South America,continents,,,,,,
2015.a.2.3.lightning.3.6,lightning,Rhodesia,general regions,Africa,continents,,,,,,
2015.a.2.3.lightning.3.7,lightning,Jordan,primary political entities,Asia,continents,,,,,,
2015.a.2.3.lightning.3.8,,Saint Louis City,,North and Central America,continents,,,,,,
2015.a.2.4.3,,London,Romano-British,Europe,continents,,,,,,
2015.a.2.4.4,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.2.4.5,tossup,Iran,primary political entities,Asia,continents,Guatemala,,,,,
2015.a.3.1.1,,Chicago,cities,North and Central America,continents,,,,,,
2015.a.3.1.3,,Manhattan,financial centers,North and Central America,continents,,,,,,
2015.a.3.1.6,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.3.2.2,,Great Britain,,Europe,continents,,,,,,
2015.a.3.2.3,,England,first level subdivisions (political entities),Europe,continents,,,,,,
2015.a.3.2.4,,Bilbao,educational centers (buildings),Europe,continents,,,,,,
2015.a.3.2.6,,Arkansas,states (political divisions),North and Central America,continents,,,,,,
