ID,type,q_place_1,q_place_type_1,parent_hierarchy1,hierarchy_types_1,places 2,places 3,places 4,places 5,places 6,places 7
2014.c.1.1.3,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.1.1.10,tossup,Russia,primary political entities,Asia,continents,,,,,,
2014.c.1.2.2,tossup + bonus,Ottoman Empire,former primary political entities,World,areas (geography),China,Britain,Canada,,,
2014.c.1.2.3,tossup + bonus,China,primary political entities,Asia,continents,,,,,,
2014.c.1.2.3,,China,former primary political entities,World,areas (geography),,,,,,
2014.c.1.2.6,tossup + bonus,Spain,primary political entities,Europe,continents,Westphalia,Wellington,,,,
2014.c.1.2.8,tossup + bonus,Austria,primary political entities,Europe,continents,Nazi Germany,,,,,
2014.c.1.3.lightning.2.2,lightning,Germany,primary political entities,Europe,continents,,,,,,
2014.c.1.3.lightning.2.3,lightning,Turkey,primary political entities,Asia,continents,,,,,,
2014.c.1.3.lightning.2.8,lightning,Serbia,primary political entities,Europe,continents,,,,,,
2014.c.1.4.1,tossup,Iraq,primary political entities,Asia,continents,Iran,North Korea,Germany,Italy,Japan,
2014.c.1.4.4,tossup,China,primary political entities,Asia,continents,,,,,,
2014.c.1.4.4,,China,former primary political entities,World,areas (geography),,,,,,
2014.c.1.4.5,tossup,Germany,primary political entities,Europe,continents,,,,,,
2014.c.2.1.5,tossup,France,primary political entities,Europe,continents,,,,,,
2014.c.2.1.7,tossup,United Kingdom,primary political entities,Europe,continents,,,,,,
2014.c.2.1.10,tossup,Ireland,primary political entities,Europe,continents,,,,,,
2014.c.2.2.3,tossup + bonus,Roman Empire,former primary political entities,World,areas (geography),,,,,,
2014.c.2.2.8,tossup + bonus,France,primary political entities,Europe,continents,Khmer Kingdom,Cambodia,,,,
2014.c.2.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.2.3.lightning.2.4,lightning,Spain,primary political entities,Europe,continents,,,,,,
2014.c.2.4.2,tossup,United States,primary political entities,North and Central America,continents,the United States,U.S.,Canada,U.S.,,
2014.c.2.4.5,tossup,United Kingdom,primary political entities,Europe,continents,,,,,,
2014.c.2.4.6,tossup,Germany,primary political entities,Europe,continents,,,,,,
2014.c.2.4.7,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.3.1.4,tossup,United States,primary political entities,North and Central America,continents,Colombia,,,,,
2014.c.3.1.7,tossup,Sudan,primary political entities,Africa,continents,,,,,,
2014.c.3.2.5,tossup + bonus,Soviet Union,former primary political entities,Asia,continents,,,,,,
2014.c.3.3.lightning.1.7,lightning,Sweden,primary political entities,Europe,continents,,,,,,
2014.c.3.3.lightning.3.1,lightning,United States,primary political entities,North and Central America,continents,St. Petersburg,,,,,
2014.c.3.4.5,tossup,Austria,primary political entities,Europe,continents,Italy,,,,,
2014.c.3.extra.1,tossup + bonus,Soviet Union,former primary political entities,Asia,continents,,,,,,
2014.c.4.2.3,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.4.2.5,tossup + bonus,Ghana,primary political entities,Africa,continents,Nigeria,Rhodesia,France,,,
2014.c.4.2.7,tossup + bonus,Lydia,former primary political entities,Turkey,primary political entities,Greece,,,,,
2014.c.4.3.lightning.3.3,lightning,India,primary political entities,Asia,continents,,,,,,
2014.c.4.3.lightning.3.5,lightning,India,primary political entities,Asia,continents,,,,,,
2014.c.4.4.1,tossup,Poland,primary political entities,Europe,continents,,,,,,
2014.c.4.4.5,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.4.4.6,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.5.1.9,tossup,Cuba,primary political entities,North and Central America,continents,Tenochtitlan,Mexico,Spain,,,
2014.c.5.2.8,tossup + bonus,Japan,primary political entities,Asia,continents,,,,,,
2014.c.5.4.1,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.5.4.5,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2014.c.5.4.7,tossup,Soviet Union,former primary political entities,Asia,continents,the United States,,,,,
2014.c.5.4.8,tossup,Cuba,primary political entities,North and Central America,continents,U.S.,Puerto Rico,,,,
2015.a.1.1.10,tossup,United States,primary political entities,North and Central America,continents,Lawrence County,,,,,
2015.a.1.3.lightning.1.8,lightning,Roman Empire,former primary political entities,World,areas (geography),,,,,,
2015.a.1.3.lightning.3.1,lightning,Japan,primary political entities,Asia,continents,,,,,,
2015.a.1.3.lightning.3.4,lightning,Japan,primary political entities,Asia,continents,,,,,,
2015.a.1.3.lightning.3.5,lightning,Japan,primary political entities,Asia,continents,,,,,,
2015.a.1.3.lightning.3.6,lightning,Japan,primary political entities,Asia,continents,Russia,,,,,
2015.a.2.1.1,tossup,Russia,primary political entities,Asia,continents,Britain,Britain,,,,
2015.a.2.2.2,tossup + bonus,Israel,primary political entities,Asia,continents,DC,Washington,Colorado,,,
2015.a.2.2.8,tossup + bonus,Canada,primary political entities,North and Central America,continents,Paris,,,,,
2015.a.2.3.lightning.1.1,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.2.3.lightning.1.2,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.2.3.lightning.1.3,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.2.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,Cuba,,,,,
2015.a.2.3.lightning.1.8,lightning,United States,primary political entities,North and Central America,continents,Cuba,,,,,
2015.a.2.3.lightning.3.5,lightning,Peru,primary political entities,South America,continents,,,,,,
2015.a.2.3.lightning.3.7,lightning,Jordan,primary political entities,Asia,continents,,,,,,
2015.a.2.4.4,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.2.4.5,tossup,Iran,primary political entities,Asia,continents,Guatemala,,,,,
2015.a.3.1.6,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.3.2.8,tossup + bonus,Netherlands,primary political entities,Europe,continents,,,,,,
2015.a.3.3.lightning.1.4,lightning,Malta,primary political entities,Europe,continents,,,,,,
2015.a.3.3.lightning.2.1,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.3.3.lightning.2.2,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.3.3.lightning.2.3,lightning,Soviet Union,former primary political entities,Asia,continents,,,,,,
2015.a.3.3.lightning.2.4,lightning,France,primary political entities,Europe,continents,Britain,,,,,
2015.a.3.3.lightning.3.1,lightning,France,primary political entities,Europe,continents,,,,,,
2015.a.3.4.1,tossup,Egypt,primary political entities,Africa,continents,India,,,,,
2015.a.3.4.2,tossup,Brazil,primary political entities,South America,continents,,,,,,
2015.a.4.1.6,tossup,India,primary political entities,Asia,continents,,,,,,
2015.a.4.1.9,tossup,United States,primary political entities,North and Central America,continents,Virginia,,,,,
2015.a.4.2.1,tossup + bonus,West Germany,former primary political entities,Europe,continents,the United States,London,,,,
2015.a.4.3.lightning.1.1,lightning,France,primary political entities,Europe,continents,,,,,,
2015.a.4.3.lightning.1.3,lightning,Spain,primary political entities,Europe,continents,Austria,,,,,
2015.a.4.3.lightning.1.4,lightning,Spain,primary political entities,Europe,continents,,,,,,
2015.a.4.3.lightning.2.1,lightning,India,primary political entities,Asia,continents,,,,,,
2015.a.4.4.1,tossup,Byzantine Empire,former primary political entities,World,areas (geography),,,,,,
2015.a.4.4.2,tossup,United Kingdom,primary political entities,Europe,continents,Special Administrative Region,China,,,,
2015.a.4.4.3,tossup,Nicaragua,primary political entities,North and Central America,continents,,,,,,
2015.a.4.4.6,tossup,Panama,primary political entities,North and Central America,continents,,,,,,
2015.a.5.1.5,tossup,Turkey,primary political entities,Asia,continents,the United States,,,,,
2015.a.5.1.7,tossup,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.5.1.9,tossup,United States,primary political entities,North and Central America,continents,Mexico,Florida,,,,
2015.a.5.1.10,tossup,Spain,primary political entities,Europe,continents,,,,,,
2015.a.5.2.2,tossup + bonus,Belgium,primary political entities,Europe,continents,,,,,,
2015.a.5.2.3,tossup + bonus,Lydia,former primary political entities,Turkey,primary political entities,the Roman Empire,,,,,
2015.a.5.2.5,tossup + bonus,Israel,primary political entities,Asia,continents,Buenos Aires,,,,,
2015.a.5.2.7,tossup + bonus,Kuwait,primary political entities,Asia,continents,,,,,,
2015.a.5.3.lightning.1.8,lightning,France,primary political entities,Europe,continents,,,,,,
2015.a.5.3.lightning.2.6,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.5.3.lightning.3.1,lightning,Israel,primary political entities,Asia,continents,,,,,,
2015.a.5.3.lightning.3.3,lightning,Israel,primary political entities,Asia,continents,,,,,,
2015.a.5.3.lightning.3.4,lightning,Israel,primary political entities,Asia,continents,,,,,,
2015.nationals.1.1.3,tossup,United Kingdom,primary political entities,Europe,continents,the United States,,,,,
2015.nationals.1.3.lightning.2.1,lightning,Roman Empire,former primary political entities,World,areas (geography),,,,,,
2015.nationals.1.3.lightning.3.1,lightning,Australia,primary political entities,Oceania,continents,,,,,,
2015.nationals.1.4.4,tossup,Russia,primary political entities,Asia,continents,,,,,,
2015.nationals.2.1.2,tossup,German Democratic Republic,former primary political entities,Europe,continents,,,,,,
2015.nationals.2.2.6,tossup + bonus,Japan,primary political entities,Asia,continents,,,,,,
2015.nationals.2.2.8,tossup + bonus,United States,primary political entities,North and Central America,continents,California,,,,,
2015.nationals.2.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.2.3.lightning.2.1,lightning,China,primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.2.1,,China,former primary political entities,World,areas (geography),,,,,,
2015.nationals.2.3.lightning.2.3,lightning,China,primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.2.3,,China,former primary political entities,World,areas (geography),,,,,,
2015.nationals.2.3.lightning.2.4,lightning,Korea,former primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.3.2,lightning,Russia,primary political entities,Asia,continents,South Ossetia,,,,,
2015.nationals.2.3.lightning.3.3,lightning,Soviet Union,former primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.3.7,lightning,Romania,primary political entities,Europe,continents,,,,,,
2015.nationals.2.4.8,tossup,Brazil,primary political entities,South America,continents,,,,,,
2015.nationals.2.extra.1,tossup,France,primary political entities,Europe,continents,Portugal,,,,,
2015.nationals.3.2.8,tossup + bonus,United States,primary political entities,North and Central America,continents,Kuwait,,,,,
2015.nationals.3.3.lightning.1.1,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.3.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.4.1.7,tossup,Uganda,primary political entities,Africa,continents,,,,,,
2015.nationals.4.2.2,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.4.2.3,tossup + bonus,France,primary political entities,Europe,continents,,,,,,
2015.nationals.4.2.5,tossup + bonus,Italy,primary political entities,Europe,continents,Trebia,,,,,
2015.nationals.4.3.lightning.1.2,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.4.3.lightning.1.8,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.4.3.lightning.2.8,lightning,Italy,primary political entities,Europe,continents,,,,,,
2015.nationals.4.4.1,tossup,Malta,primary political entities,Europe,continents,,,,,,
2015.nationals.4.4.2,tossup,United States,primary political entities,North and Central America,continents,the Republic of Texas,,,,,
2015.nationals.4.4.6,tossup,Spain,primary political entities,Europe,continents,,,,,,
2015.nationals.5.2.2,tossup + bonus,Sweden,primary political entities,Europe,continents,King Hrothgar,,,,,
2015.nationals.5.2.3,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.5.4.2,tossup,New Zealand,primary political entities,Oceania,continents,,,,,,
2015.nationals.5.4.3,tossup,Germany,primary political entities,Europe,continents,Cambridge,,,,,
2015.nationals.5.4.6,tossup,India,primary political entities,Asia,continents,,,,,,
2015.nationals.5.4.7,tossup,South Africa,primary political entities,Africa,continents,Oslo,Stockholm,,,,
2015.nationals.5.4.8,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2021.c.1.1.5,tossup,United States,primary political entities,North and Central America,continents,Talleyrand,U.S.,Louisiana,the United States,,
2021.c.1.1.8,tossup,France,primary political entities,Europe,continents,Argentina,,,,,
