,ID,year,set,tournament_round,game_round,lightning_round,question_num,type,lightning_lead,q_text,a_text,is_person_a,is_myth_a,bonus_q_text,bonus_a_text,is_person_b,is_myth_b,woman_named,is_fictional,is_myth,is_answer,names,author
1,2014.c.1.1.1,2014,c,1,1,NA,1,tossup,NA,"This man's opinion in Barron v. Baltimore refused to apply Bill of Rights protections to state governments. He was the target of Andrew Jackson's derisive remark ""now let him enforce it,"" and he asserted his Court's power in a case about ""midnight appointments."" For 10 points, name this Chief Justice whose ruling in Marbury v. Madison asserted the power of judicial review. ",John Marshall,TRUE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
2,2014.c.1.1.2,2014,c,1,1,NA,2,tossup,NA," Pope Leo I convinced Attila the Hun not to perform this kind of action. This kind of action was done by Gauls following the 390 BC Battle of the Allia. In 410 AD, Alaric led an army of Visigoths in performing this action, which St. Jerome identified as the effective end of the Empire. For 10 points, identify this action in which the ""eternal city"" is pillaged. ",sack of Rome,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
3,2014.c.1.1.3,2014,c,1,1,NA,3,tossup,NA,"The formation of this institution triggered the Key West Agreement on its proper usage, which was negotiated on its behalf by its first secretary, Stuart Symington. This organization conducted Project Blue Book, a study of UFOs, and it operates Area 51. For 10 points, name this branch of the US military which operates B-52s, F-16s, and other fighter jets.  ",United States Air Force,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
4,2014.c.1.1.4,2014,c,1,1,NA,4,tossup,NA," In 1970, the concluding game of this event featured the dramatic entrance of an injured Willis Reed. This event included the ""flu game"" in 1997 and an upset in 2011 that put a championship in the hands of Jason Terry, Shawn Marion, and Dirk Nowitski. For 10 points, name this annual June event, which awards the Larry O'Brien trophy to teams such as the Bulls, Heat, or Lakers.  ",NBA Finals,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
5,2014.c.1.1.5,2014,c,1,1,NA,5,tossup,NA,"This country's banks, which had been largely taken over by Russian organized criminals by 2013, underwent a savings account ""haircut."" This country’s ""enosis""  movement propelled Archbishop Makarios to power, sparking an invasion that still divides this island. For 10 points, name this country with Greek and Turkish sectors on an island. ",Cyprus,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
6,2014.c.1.1.6,2014,c,1,1,NA,6,tossup,NA," This instrument was invented by a Belgian seeking a solution to the problem of clarinets raising their pitch when overblown. This instrument was played by Cannonball Adderley as well as the composer of Giant Steps, John Coltrane. For 10 points, name this classical and jazz instrument which has alto and tenor varieties and is a woodwind made out of brass.  ",saxophone,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
7,2014.c.1.1.7,2014,c,1,1,NA,7,tossup,NA,"In 1985, this company sued Minolta over the distinctive crossed letters in its logo. This company is the descendent of Standard Oil of New Jersey, and it employed Joseph Hazelwood, who was accused of being responsible for a 1989 disaster on Prince William Sound. For 10 points, name this company whose Valdez tanker caused a huge oil spill, eleven years before it merged with Mobil. ",Exxon Mobil Corporation,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
8,2014.c.1.1.8,2014,c,1,1,NA,8,tossup,NA,"The first Church council named for this place endorsed ultramontanism and espoused the doctrine of Papal infallibility. The second council named for this place introduced the vernacular mass and renounced anti-Semitism. For 10 points, identify this namesake of 1868 and 1962 Catholic ecumenical councils, which is also the independent state where the Pope lives.  ",Vatican City,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
9,2014.c.1.1.9,2014,c,1,1,NA,9,tossup,NA,"This man refused to continue working on the film The Golden Age after denouncing his collaborator, Luis Buñuel, for ""communism and atheism,"" three years after he completed Un Chien Andalou. For 10 points, name this Spanish surrealist who painted The Persistence of Memory, which shows several melting watches.  ",Salvador Dal�,TRUE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
10,2014.c.1.1.10,2014,c,1,1,NA,10,tossup,NA,"Nobility serving under this dynasty followed the ""Table of Ranks"" to determine bureaucratic advancement. This royal house came to power after three different ""False Dmitris"" were suppressed during the Time of Troubles. For 10 points, name this house founded by Mikhail I in 1613, which remained in control of Russia until the twentieth century.  ",Romanov Dynasty,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,
