ID,type,q_place_1,q_place_type_1,parent_hierarchy_1,hierarchy_types_1,q_place_2,q_place_type_2,parent_hierarchy_2,hierarchy_types_2,q_place_3plus,q_place_type_3,parent_hierarchy_3,hierarchy_types_3
2014.c.1.1.1,tossup,,,,,,,,,,,,
2014.c.1.1.2,tossup,,,,,,,,,,,,
2014.c.1.1.3,tossup,United States,primary political entities,North and Central America,continents,,,,,,,,
2014.c.1.1.3,,,nations,World,areas (geography),,,,,,,,
2014.c.1.1.3,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2014.c.1.1.3,,,independent sovereign nations,,,,,,,,,,
2014.c.1.1.4,tossup,,,,,,,,,,,,
2014.c.1.1.5,tossup,,,,,,,,,,,,
2014.c.1.1.6,tossup,,,,,,,,,,,,
2014.c.1.1.7,tossup,,,,,Prince William Sound,bays (bodies of water),Chugach,,,,,
2014.c.1.1.7,,,,,,,,Alaska,,,,,
2014.c.1.1.7,,,,,,,,United States,primary political entities,,,,
2014.c.1.1.7,,,,,,,,,nations,,,,
2014.c.1.1.7,,,,,,,,,independent political entities,,,,
2014.c.1.1.7,,,,,,,,,independent sovereign nations,,,,
2014.c.1.1.7,,,,,,,,North and Central America,continents,,,,
2014.c.1.1.7,,,,,,,,World,areas (geography),,,,
2014.c.1.1.7,,,,,,,,,facets (controlled vocabulary),,,,
2014.c.1.1.8,tossup,,,,,,,,,,,,
2014.c.1.1.9,tossup,,,,,,,,,,,,
2014.c.1.1.10,tossup,Russia,primary political entities,Asia,continents,,,,,,,,
2014.c.1.1.10,,,republics,World,areas (geography),,,,,,,,
2014.c.1.1.10,,,nations,,facets (controlled vocabulary),,,,,,,,
2014.c.1.1.10,,,independent political entities,,,,,,,,,,
2014.c.1.2.1,tossup + bonus,,,,,,,,,,,,
2014.c.1.2.2,tossup + bonus,Ottoman Empire,former primary political entities,World,areas (geography),China,primary political entities,Asia,continents,Great Britain,islands (landforms),United Kingdom,primary political entities
2014.c.1.2.2,,,,,,,,,,,,,nations
2014.c.1.2.2,,,,,,,,,,,,,independent political entities
2014.c.1.2.2,,,,,,,,,,,,,independent sovereign nations
2014.c.1.2.2,,,,,,,,,,,,,constitutional monarchies
2014.c.1.2.2,,,,,,,,,,,,Europe,continents
2014.c.1.2.2,,,,,,,,,,,,World,areas (geography)
2014.c.1.2.2,,,,,,,,,,,,,facets (controlled vocabulary)
2014.c.1.2.2,,,,,,,former primary political entities,World,areas (geography),Canada,primary political entities,North and Central America,continents
2014.c.1.2.2,,,,,,,republics,,facets (controlled vocabulary),,nations,World,areas (geography)
2014.c.1.2.2,,,,,,,empires (sovereign states),,,,independent political entities,,facets (controlled vocabulary)
2014.c.1.2.2,,,,,,,nations,,,,independent sovereign nations,,
2014.c.1.2.2,,,,,,,independent political entities,,,,,,
2014.c.1.2.2,,Ottoman Empire,historical regions,World,facets (controlled vocabulary),,,,,,,,
2014.c.1.2.2,,,empires (sovereign states),,,,,,,,,,
2014.c.1.2.3,tossup + bonus,China,primary political entities,Asia,continents,,,,,,,,
2014.c.1.2.3,,,former primary political entities,World,areas (geography),,,,,,,,
2014.c.1.2.3,,,republics,,facets (controlled vocabulary),,,,,,,,
2014.c.1.2.3,,,empires (sovereign states),,,,,,,,,,
2014.c.1.2.3,,,nations,,,,,,,,,,
2014.c.1.2.3,,,independent political entities,,,,,,,,,,
2014.c.1.2.4,tossup + bonus,,,,,,,,,,,,
2014.c.1.2.5,tossup + bonus,Jackson,second level subdivisions (political entities),Missouri,,United States,primary political entities,North and Central America,continents,Maine,first level subdivisions (political entities),United States,primary political entities
2014.c.1.2.5,,,,United States,primary political entities,,,,,,,,nations
2014.c.1.2.5,,,,North and Central America,continents,,,,,,,,independent political entities
2014.c.1.2.5,,,,,,,,,,,,,independent sovereign nations
2014.c.1.2.5,,,,,,,,,,,states (political divisions),North and Central America,continents
2014.c.1.2.5,,,,,,,,,,,,World,areas (geography)
2014.c.1.2.5,,,,,,,,,,,,,facets (controlled vocabulary)
2014.c.1.2.5,,,,,,,nations,World,areas (geography),United States,primary political entities,North and Central America,continents
2014.c.1.2.5,,,,,,,,,,,nations,World,areas (geography)
2014.c.1.2.5,,,,,,,,,,,independent political entities,,facets (controlled vocabulary)
2014.c.1.2.5,,,,,,,,,,,independent sovereign nations,,
2014.c.1.2.5,,,,,,,independent political entities,,facets (controlled vocabulary),Saint Louis City,second level subdivisions (political entities),Missouri,
2014.c.1.2.5,,,,,,,independent sovereign nations,,,,independent cities,United States,primary political entities
2014.c.1.2.5,,,,,,,,,,,,,nations
2014.c.1.2.5,,,,,,,,,,,,,independent political entities
2014.c.1.2.5,,,,,,,,,,,,,independent sovereign nations
2014.c.1.2.5,,Jackson,counties,United States,primary political entities,,,,,,,North and Central America,continents
2014.c.1.2.5,,,,,nations,,,,,,,World,areas (geography)
