"","ID","places","lattitude","longitude"
"1","2014.c.1.1.1","Marbury",32.6744366,-86.4609804741386
"2","2014.c.1.1.2","Allia",50.6335067,5.5746873
"3","2014.c.1.1.2","St. Jerome",51.700908,-2.82197290345481
"4","2014.c.1.1.3","US",39.7837304,-100.445882
"5","2014.c.1.1.7","Minolta",56.9629663,24.13562495
"6","2014.c.1.1.7","Prince William Sound",60.615,-147.1680556
"7","2014.c.1.1.10","Russia",64.6863136,97.7453061
"8","2014.c.1.2.2","the Ottoman Empire's",NA,NA
"9","2014.c.1.2.2","China",35.0000663,104.999955
"10","2014.c.1.2.2","Britain",54.3151594,-1.91815321114879
"11","2014.c.1.2.2","Canada",61.0666922,-107.991707
"12","2014.c.1.2.3","China",35.0000663,104.999955
"13","2014.c.1.2.5","Jackson County",28.9224028,-96.55561
"14","2014.c.1.2.5","U.S.",51.4376108,7.3303862
"15","2014.c.1.2.5","Maine",45.709097,-68.8590201
"16","2014.c.1.2.5","USA",39.7837304,-100.445882
"17","2014.c.1.2.5","St. Louis",38.6280278,-90.1910154
"18","2014.c.1.2.6","Spain",39.3260685,-4.8379791
"19","2014.c.1.2.6","Westphalia",41.7196952,-95.3949545
"20","2014.c.1.2.6","Wellington",-41.2887953,174.7772114
"21","2014.c.1.2.7","Edinburgh",55.9533456,-3.1883749
"22","2014.c.1.2.8","Austria",47.59397,14.12456
"23","2014.c.1.2.8","Nazi Germany",49.4339695,11.1126843
"24","2014.c.1.3.lightning.1.2","Syracuse",43.0481221,-76.1474244
"25","2014.c.1.3.lightning.1.4","Athens",33.9597677,-83.376398
"26","2014.c.1.3.lightning.1.5","Athens",33.9597677,-83.376398
"27","2014.c.1.3.lightning.1.7","Lesbos",39.17584185,25.9989134502324
"28","2014.c.1.3.lightning.2.2","Germany",51.1638175,10.4478313
"29","2014.c.1.3.lightning.2.3","Turkey",38.9597594,34.9249653
"30","2014.c.1.3.lightning.2.4","Moscow",55.625578,37.6063916
"31","2014.c.1.3.lightning.2.8","Serbia",44.02432285,21.076574332099
"32","2014.c.1.3.lightning.3.2","Chicago",41.8755616,-87.6244212
"33","2014.c.1.3.lightning.3.5","California",36.7014631,-118.755997
