Type	Rank	Freq	Range	NormFreq	NormRange
name	14	491	456	7729.240	0.151
man	19	334	183	5257.773	0.061
war	22	308	234	4848.485	0.078
city	29	259	153	4077.135	0.051
led	33	187	169	2943.723	0.056
battle	35	176	137	2770.563	0.045
one	36	173	132	2723.337	0.044
first	37	172	155	2707.595	0.051
country	39	160	96	2518.693	0.032
whose	40	147	142	2314.050	0.047
state	43	137	83	2156.631	0.028
named	44	121	110	1904.762	0.036
event	45	113	46	1778.827	0.015
president	46	112	92	1763.085	0.030
used	47	110	100	1731.602	0.033
people	48	107	82	1684.376	0.027
known	49	106	102	1668.634	0.034
u	50	105	96	1652.893	0.032
group	51	96	63	1511.216	0.021
american	52	90	83	1416.765	0.028
century	52	90	80	1416.765	0.027
king	52	90	71	1416.765	0.024
called	55	88	81	1385.281	0.027
great	56	87	80	1369.540	0.027
world	56	87	79	1369.540	0.026
new	59	83	78	1306.572	0.026
general	60	82	71	1290.830	0.024
empire	61	81	64	1275.089	0.021
john	62	79	74	1243.605	0.025
leader	63	77	67	1212.121	0.022
party	63	77	57	1212.121	0.019
namesake	65	75	70	1180.638	0.023
nation	66	73	40	1149.154	0.013
dynasty	71	65	48	1023.219	0.016
th	71	65	59	1023.219	0.020
william	71	65	62	1023.219	0.021
two	74	64	59	1007.477	0.020
capital	75	63	60	991.736	0.020
british	78	62	58	975.994	0.019
following	78	62	60	975.994	0.020
treaty	80	61	59	960.252	0.020
ii	82	58	56	913.026	0.019
black	84	56	53	881.543	0.018
states	85	55	53	865.801	0.018
later	86	54	53	850.059	0.018
government	89	53	50	834.317	0.017
island	89	53	31	834.317	0.010
made	89	53	51	834.317	0.017
emperor	92	52	51	818.575	0.017
army	93	51	49	802.834	0.016
death	93	51	48	802.834	0.016
included	93	51	51	802.834	0.017
river	93	51	37	802.834	0.012
act	98	49	39	771.350	0.013
became	98	49	49	771.350	0.016
day	98	49	46	771.350	0.015
