Type	Rank	Freq	Range	NormFreq	NormRange
name	12	43	34	12893.553	0.298
woman	17	24	14	7196.402	0.123
person	29	13	9	3898.051	0.079
deity	31	12	4	3598.201	0.035
ruler	31	12	7	3598.201	0.061
first	33	11	9	3298.351	0.079
queen	34	10	10	2998.501	0.088
anne	35	9	9	2698.651	0.079
goddess	35	9	6	2698.651	0.053
husband	35	9	8	2698.651	0.070
leader	35	9	5	2698.651	0.044
city	39	8	8	2398.801	0.070
led	39	8	7	2398.801	0.061
one	42	7	6	2098.951	0.053
president	42	7	4	2098.951	0.035
coach	47	6	2	1799.100	0.018
new	47	6	5	1799.100	0.044
politician	47	6	3	1799.100	0.026
roman	47	6	4	1799.100	0.035
temple	47	6	5	1799.100	0.044
world	47	6	6	1799.100	0.053
american	55	5	5	1499.250	0.044
another	55	5	5	1499.250	0.044
female	55	5	4	1499.250	0.035
henry	55	5	5	1499.250	0.044
two	55	5	5	1499.250	0.044
wife	55	5	4	1499.250	0.035
york	55	5	4	1499.250	0.035
ancient	65	4	3	1199.400	0.026
became	65	4	4	1199.400	0.035
bill	65	4	4	1199.400	0.035
colony	65	4	3	1199.400	0.026
daughter	65	4	4	1199.400	0.035
empress	65	4	3	1199.400	0.026
father	65	4	4	1199.400	0.035
hutchinson	65	4	4	1199.400	0.035
john	65	4	3	1199.400	0.026
killed	65	4	4	1199.400	0.035
known	65	4	4	1199.400	0.035
made	65	4	4	1199.400	0.035
met	65	4	4	1199.400	0.035
minister	65	4	4	1199.400	0.035
monarch	65	4	3	1199.400	0.026
named	65	4	4	1199.400	0.035
range	65	4	1	1199.400	0.009
secretary	65	4	4	1199.400	0.035
sister	65	4	4	1199.400	0.035
state	65	4	4	1199.400	0.035
supposedly	65	4	3	1199.400	0.026
united	65	4	4	1199.400	0.035
university	65	4	3	1199.400	0.026
war	65	4	4	1199.400	0.035
women	65	4	4	1199.400	0.035
alexandria	95	3	3	899.550	0.026
along	95	3	3	899.550	0.026
aragon	95	3	3	899.550	0.026
author	95	3	2	899.550	0.018
basketball	95	3	2	899.550	0.018
