Type	Rank	Freq	Range	NormFreq	NormRange
man	13	141	71	9240.448	0.155
name	14	132	119	8650.632	0.260
one	31	50	38	3276.755	0.083
first	34	41	37	2686.939	0.081
led	36	32	28	2097.123	0.061
war	36	32	22	2097.123	0.048
city	38	29	20	1900.518	0.044
wrote	39	28	22	1834.983	0.048
american	41	27	25	1769.448	0.055
country	42	26	13	1703.912	0.028
president	42	26	21	1703.912	0.046
state	42	26	13	1703.912	0.028
battle	46	25	22	1638.377	0.048
known	48	24	23	1572.842	0.050
u	48	24	23	1572.842	0.050
author	50	23	14	1507.307	0.031
king	50	23	19	1507.307	0.041
wife	50	23	22	1507.307	0.048
whose	54	22	21	1441.772	0.046
event	55	21	7	1376.237	0.015
used	55	21	17	1376.237	0.037
another	57	20	19	1310.702	0.041
john	57	20	20	1310.702	0.044
people	57	20	16	1310.702	0.035
title	57	20	12	1310.702	0.026
two	57	20	19	1310.702	0.041
woman	57	20	12	1310.702	0.026
following	63	19	19	1245.167	0.041
named	63	19	18	1245.167	0.039
place	63	19	9	1245.167	0.020
queen	63	19	17	1245.167	0.037
dynasty	68	18	9	1179.632	0.020
called	69	17	15	1114.097	0.033
world	69	17	17	1114.097	0.037
nation	74	16	8	1048.562	0.017
novel	74	16	7	1048.562	0.015
party	74	16	13	1048.562	0.028
ruler	74	16	10	1048.562	0.022
second	74	16	15	1048.562	0.033
created	80	15	14	983.026	0.031
defeated	80	15	15	983.026	0.033
great	80	15	13	983.026	0.028
held	80	15	12	983.026	0.026
henry	80	15	15	983.026	0.033
killed	80	15	12	983.026	0.026
namesake	80	15	14	983.026	0.031
person	80	15	14	983.026	0.031
william	80	15	14	983.026	0.031
book	89	14	10	917.491	0.022
building	89	14	8	917.491	0.017
century	89	14	13	917.491	0.028
th	89	14	14	917.491	0.031
women	89	14	13	917.491	0.028
became	95	13	12	851.956	0.026
composer	95	13	5	851.956	0.011
de	95	13	12	851.956	0.026
island	95	13	8	851.956	0.017
new	95	13	13	851.956	0.028
